City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
245,Swift Current,CA,2021-10-25 23:49:27,50.2834,-107.8014,50.81,62,90,18.41,overcast clouds
246,Seydi,TM,2021-10-25 23:50:24,39.4816,62.9137,51.87,46,20,7.85,few clouds
247,Nikolskoye,RU,2021-10-25 23:50:25,59.7035,30.7861,45.01,90,100,9.26,overcast clouds
248,Geraldton,AU,2021-10-25 23:50:26,-28.7667,114.6,57.61,88,75,9.22,light rain
249,Rocha,UY,2021-10-25 23:50:27,-34.4833,-54.3333,56.03,82,1,2.89,clear sky
250,Marsaxlokk,MT,2021-10-25 23:50:28,35.8419,14.5431,66.81,88,90,16.11,thunderstorm with rain
251,Khatanga,RU,2021-10-25 23:50:29,71.9667,102.5,4.64,96,100,7.09,light snow
252,Igdir,TR,2021-10-25 23:50:30,39.9237,44.045,40.93,59,68,7.94,broken clouds
253,Danlugan,PH,2021-10-25 23:50:30,7.8914,123.3728,78.46,81,75,1.5,broken clouds
254,Excelsior Springs,US,2021-10-25 23:50:31,39.3392,-94.2261,50.0,80,90,0.0,overcast clouds
255,Sao Lourenco Do Sul,BR,2021-10-25 23:50:32,-31.3653,-51.9783,73.45,75,0,7.72,clear sky
256,Kerman,IR,2021-10-25 23:50:32,30.2832,57.0788,40.86,33,0,6.91,clear sky
257,Caucaia,BR,2021-10-25 23:50:33,-3.7361,-38.6531,82.35,72,0,12.66,clear sky
